n_obs,n_breaches,breach_rate,expected_rate,ci_lower,ci_upper,kupiec_stat,kupiec_pval,christo_stat,christo_pval,es_realized,Model,alpha,alpha_label,ticker
72,2,0.027777777777777776,0.05,0.0,0.06944444444444445,0.8859917793111203,0.3465658140088329,0.0,1.0,0.05627982534022155,GARCH-t,0.05,95%,FUNO11.MX
72,5,0.06944444444444445,0.05,0.013888888888888888,0.1388888888888889,0.5138931678901879,0.473458372760048,0.9893524680117609,0.31990068847353015,0.03645852808082528,XGBoost-Quantile,0.05,95%,FUNO11.MX
72,2,0.027777777777777776,0.05,0.0,0.06944444444444445,0.8859917793111203,0.3465658140088329,0.0,1.0,0.05627982534022155,Historical-VaR,0.05,95%,FUNO11.MX
72,1,0.013888888888888888,0.01,0.0,0.041666666666666664,0.09810946472821924,0.7541102547385813,0.0,1.0,0.0846543866315647,GARCH-t,0.01,99%,FUNO11.MX
72,2,0.027777777777777776,0.01,0.0,0.06944444444444445,1.549729234280648,0.2131754176750139,0.0,1.0,0.05627982534022155,XGBoost-Quantile,0.01,99%,FUNO11.MX
72,2,0.027777777777777776,0.01,0.0,0.06944444444444445,1.549729234280648,0.2131754176750139,0.0,1.0,0.05627982534022155,Historical-VaR,0.01,99%,FUNO11.MX
