Date,return,regime,vol_garch_t,var_garch_t,var_xgb_q,var_hist,es_garch_t,es_xgb_q,es_hist
2020-08-26,0.0,Normal,0.020896734172301715,0.04210793020186917,0.042861055582761765,0.07262005793264288,0.05627982534022155,0.03645852808082528,0.05627982534022155
2020-09-24,0.0449105747510087,Normal,0.013662965424503794,0.02753153625355171,0.045254018157720566,0.0396545781819724,0.05627982534022155,0.03645852808082528,0.05627982534022155
2020-10-22,0.0113703967273025,Normal,0.02118025393504716,0.04267923623859715,0.035593606531620026,0.033820889415973096,0.05627982534022155,0.03645852808082528,0.05627982534022155
2020-11-23,-0.031001712040393,Normal,0.027536798689475027,0.05548798140602558,0.030609650537371635,0.03315338917276844,0.05627982534022155,0.03645852808082528,0.05627982534022155
2020-12-21,-0.0213366928283188,Normal,0.023070554628855638,0.0464882835767662,0.032043445855379105,0.031238057486176522,0.05627982534022155,0.03645852808082528,0.05627982534022155
2021-01-20,-0.0017990375074333,Normal,0.020724424510971128,0.04176071789909541,0.02392275258898735,0.02726367356479114,0.05627982534022155,0.03645852808082528,0.05627982534022155
2021-02-18,-0.0058161005955553,Normal,0.0178426915248904,0.03595388653311332,0.023299794644117355,0.02718500100856684,0.05627982534022155,0.03645852808082528,0.05627982534022155
2021-03-19,-0.0223701742687335,Normal,0.012212873814494858,0.02460953151361934,0.02424023300409317,0.0242046547040888,0.05627982534022155,0.03645852808082528,0.05627982534022155
2021-04-20,0.0024527520140366,Normal,0.021248623157414027,0.042817003528913544,0.022178268060088158,0.02506285072439462,0.05627982534022155,0.03645852808082528,0.05627982534022155
2021-05-18,0.0012679624215307,Normal,0.015603547627364578,0.03144190326474535,0.02158721536397934,0.0242046547040888,0.05627982534022155,0.03645852808082528,0.05627982534022155
2021-06-15,-0.0082447706145452,Normal,0.013890447063172873,0.02798992275951497,0.021925030276179314,0.02296955763877986,0.05627982534022155,0.03645852808082528,0.05627982534022155
2021-07-13,-0.0088148384608841,Normal,0.012051616719485793,0.024284590666632914,0.022967658936977386,0.0228768230133137,0.05627982534022155,0.03645852808082528,0.05627982534022155
2021-08-10,0.006904127493454,Normal,0.011735750629901105,0.023648105216624225,0.018974799662828445,0.02218129847256384,0.05627982534022155,0.03645852808082528,0.05627982534022155
2021-09-07,-0.0177157077849486,Normal,0.013771494643435236,0.027750227879618616,0.024716271087527275,0.022605011980388702,0.05627982534022155,0.03645852808082528,0.05627982534022155
2021-10-06,-0.0185566823289617,Normal,0.020635590559262496,0.04158171318920818,0.020194243639707565,0.0228768230133137,0.05627982534022155,0.03645852808082528,0.05627982534022155
2021-11-04,0.0019076213359851,Normal,0.015013977192284502,0.030253890318571997,0.02268301136791706,0.024779428406884657,0.05627982534022155,0.03645852808082528,0.05627982534022155
2021-12-03,-0.0242407266352793,Normal,0.014879869664692862,0.02998365716324675,0.020175721496343613,0.02515574851322584,0.05627982534022155,0.03645852808082528,0.05627982534022155
2021-12-31,0.0050957038362105,Normal,0.013923197806411785,0.028055917091403985,0.02038395218551159,0.02727954208673224,0.05627982534022155,0.03645852808082528,0.05627982534022155
2022-01-28,-0.0173329043704682,Normal,0.01817403706028803,0.03662156381522747,0.025973495095968246,0.02727954208673224,0.05627982534022155,0.03645852808082528,0.05627982534022155
2022-02-28,0.0258957135926222,Normal,0.020743108060639222,0.04179836615546219,0.020962441340088844,0.02943194720435988,0.05627982534022155,0.03645852808082528,0.05627982534022155
2022-03-29,0.0030192536557516,Normal,0.016782002135754207,0.03381654610492284,0.021549871191382408,0.02727954208673224,0.05627982534022155,0.03645852808082528,0.05627982534022155
2022-04-28,0.0188561427727395,Normal,0.021416541430800774,0.0431553669725544,0.020719464868307114,0.02951486761125242,0.05627982534022155,0.03645852808082528,0.05627982534022155
2022-05-26,-0.0024170102300474,High Vol,0.017866099138822953,0.03600105400749172,0.024253444746136665,0.02956705528564912,0.05627982534022155,0.03645852808082528,0.05627982534022155
2022-06-23,0.0312443940994045,Normal,0.017177889581684872,0.03461427845886839,0.026016240939497948,0.02976170516655372,0.05627982534022155,0.03645852808082528,0.05627982534022155
2022-07-21,0.0176042752088459,Normal,0.01994705194865011,0.04019427458191672,0.025988543406128883,0.03200051150574294,0.05627982534022155,0.03645852808082528,0.05627982534022155
2022-08-18,-0.0009421524133005,Normal,0.016385177726529622,0.033016925724616,0.03243560716509819,0.0289742424847012,0.05627982534022155,0.03645852808082528,0.05627982534022155
2022-09-15,0.0095822542640876,Normal,0.017473805084958906,0.035210562512384753,0.025304419919848442,0.0322485121219512,0.05627982534022155,0.03645852808082528,0.05627982534022155
