Date,price,volume,log_return
2018-01-03,17.739688873291016,218145,-0.008120833723857121
2018-01-04,17.527891159057617,274343,-0.012011045854958262
2018-01-05,18.561065673828125,459891,0.05727275075388958
2018-01-08,18.659223556518555,702988,0.005274441025609362
2018-01-09,18.519744873046875,750865,-0.00750313113650025
2018-01-10,18.6540584564209,1428275,0.007226280650453239
2018-01-11,18.36993408203125,233280,-0.015348423148465823
2018-01-12,18.023815155029297,413028,-0.019021363285421297
2018-01-15,18.023815155029297,186282,0.0
2018-01-16,17.966997146606445,300051,-0.0031573644489033353
2018-01-17,17.956663131713867,517749,-0.0005753319732771279
2018-01-18,17.558887481689453,965573,-0.022401020221047292
2018-01-19,17.18694305419922,1063488,-0.021410260160629573
2018-01-22,17.264429092407227,879158,0.004498292174644585
2018-01-23,17.124950408935547,977559,-0.008111774641576691
2018-01-24,17.42974090576172,1186068,0.017641506261509406
2018-01-25,17.403911590576172,2114093,-0.0014830095650846047
2018-01-26,17.75519561767578,871406,0.01998319893299429
2018-01-29,17.419404983520508,478148,-0.01909337019231893
2018-01-30,17.54338836669922,536007,0.0070923339360077844
2018-01-31,17.4710693359375,991125,-0.004130815574031883
2018-02-01,17.966997146606445,492537,0.027990251022810084
2018-02-02,17.786184310913086,825439,-0.01011458951753096
2018-02-06,17.817180633544922,1314525,0.001741202299915915
2018-02-07,17.930835723876953,772171,0.006358700977838932
2018-02-08,17.930835723876953,4678799,0.0
2018-02-09,18.860694885253906,491670,0.050558224022050735
2018-02-12,18.406097412109375,371243,-0.024398130106422156
2018-02-13,18.871023178100586,3688777,0.024945589572079006
2018-02-14,18.380266189575195,381464,-0.02634998099600364
2018-02-15,18.86585807800293,911196,0.02607623817688422
2018-02-16,18.71088409423828,585802,-0.00824844589854138
2018-02-19,18.855533599853516,130640,0.007701038820064536
2018-02-20,18.762542724609375,515551,-0.00494395640300031
2018-02-21,18.623064041137695,261305,-0.007461659321664492
2018-02-22,18.44742774963379,2237105,-0.00947587136006152
2018-02-23,18.48358154296875,551810,0.001957910470189803
2018-02-26,18.230457305908203,311468,-0.013789180148483076
2018-02-27,18.158130645751953,582791,-0.003975243859303392
2018-02-28,18.271778106689453,376170,0.006239259636104717
2018-03-01,18.313108444213867,180538,0.00225942234640983
2018-03-02,18.07547378540039,245605,-0.013061131952973464
2018-03-05,17.997989654541016,383421,-0.004295914094951768
2018-03-06,17.997989654541016,351712,0.0
2018-03-07,18.01865005493164,388915,0.001147269863231743
2018-03-08,18.1684627532959,132656,0.008279939604722564
2018-03-09,18.313108444213867,353837,0.007929836579971176
2018-03-12,18.189128875732422,271975,-0.006793010748761938
2018-03-13,17.910165786743164,478985,-0.015455628411478017
2018-03-14,18.09055519104004,222965,0.010021516742770478
2018-03-15,18.22179412841797,454582,0.007228367828884753
2018-03-16,18.03280258178711,855844,-0.010425892202013193
2018-03-20,18.216543197631836,154655,0.010137683068018113
2018-03-21,19.014493942260742,1390139,0.042871379293613544
2018-03-22,18.862258911132812,269159,-0.008038484791285758
2018-03-23,18.158794403076172,616735,-0.03800805915408132
2018-03-26,18.468530654907227,225573,0.016913254509003887
2018-03-27,18.295286178588867,57139,-0.009424797185621909
2018-03-28,18.24803924560547,197078,-0.0025858051373758694
2018-04-02,18.263792037963867,1123261,0.0008628870578132715
2018-04-03,18.68901824951172,95491,0.023015569254395074
2018-04-04,18.857004165649414,1410385,0.00894832668027666
2018-04-05,19.098499298095703,850372,0.012725342533323665
2018-04-06,18.98825454711914,243794,-0.005789154902648418
2018-04-09,19.402984619140625,377772,0.02160629430084107
2018-04-10,18.752016067504883,214170,-0.034125630347169394
2018-04-11,18.489526748657227,116333,-0.014096820153748656
2018-04-12,18.468530654907227,351331,-0.0011362121000854579
2018-04-13,18.447528839111328,192698,-0.0011378147261403289
2018-04-16,18.426530838012695,101187,-0.001138903801328508
2018-04-17,18.762516021728516,429333,0.018069531426991903
2018-04-18,18.41077995300293,245462,-0.01892469080922829
2018-04-19,18.43178367614746,283173,0.0011401880515919264
2018-04-20,18.767757415771484,145787,0.018063818285980526
2018-04-23,19.1404972076416,711549,0.019665996687677732
2018-04-24,18.636518478393555,731752,-0.026683348195894366
2018-04-25,18.41077995300293,182273,-0.012186654829355754
2018-04-26,18.536775588989258,282992,0.006820268488100002
2018-04-27,18.685548782348633,301950,0.007993804153808572
2018-04-30,18.53085708618164,1096949,-0.008313139510871946
2018-05-02,19.261632919311523,498392,0.03867789250631959
2018-05-03,19.2669677734375,216633,0.0002769295569602976
2018-05-04,18.957582473754883,168629,-0.016188133228496326
2018-05-07,19.04827117919922,157974,0.004772363667735391
2018-05-08,18.97892189025879,121915,-0.0036473565479535875
2018-05-09,18.91490936279297,715430,-0.0033785229013738073
2018-05-10,19.325645446777344,278592,0.021482527233118
2018-05-11,19.795047760009766,187291,0.023998799795924976
2018-05-14,19.133617401123047,778881,-0.03398493199037364
2018-05-15,18.60552978515625,502287,-0.027988024484387346
2018-05-16,18.46684455871582,291275,-0.007481898629217184
2018-05-17,18.370824813842773,152836,-0.005213139917250828
2018-05-18,18.253482818603516,92878,-0.006407897068416716
2018-05-21,17.842750549316406,356560,-0.022758607155639488
2018-05-22,18.242807388305664,1564020,0.022173592594335118
2018-05-23,18.893579483032227,229905,0.035051267823431265
2018-05-24,18.749553680419922,141263,-0.007652206036475738
2018-05-25,19.341644287109375,178076,0.031090558004978782
2018-05-28,19.00559425354004,87789,-0.01752713620116418
2018-05-29,18.456178665161133,299008,-0.029334168800980012
2018-05-30,18.749553680419922,253436,0.015770746997165543
2018-05-31,18.578857421875,1324444,-0.00914571198254228
2018-06-01,19.16562271118164,2217950,0.031093953969476656
2018-06-04,19.357650756835938,1306459,0.009969538871646758
2018-06-05,19.144283294677734,750066,-0.011083580691934786
2018-06-06,19.000259399414062,571166,-0.007551516914831125
2018-06-07,18.429502487182617,478382,-0.030499855083550406
2018-06-08,18.344160079956055,348676,-0.004641504516209947
2018-06-11,18.29615592956543,263296,-0.002620292785916982
2018-06-12,18.5255184173584,259637,0.012458176244971194
2018-06-13,18.68021011352539,217263,0.00831552525155707
2018-06-14,18.616199493408203,116704,-0.0034325386084750084
2018-06-15,18.95224952697754,829743,0.0178904908544001
2018-06-18,18.68021011352539,384545,-0.01445795224592515
2018-06-19,18.42417335510254,390737,-0.013801109110623341
2018-06-20,19.01093101501465,340623,0.03135055864081022
2018-06-21,19.53900909423828,137016,0.027398803357556747
2018-06-22,19.213623046875,390376,-0.016793372547461168
2018-06-25,19.458999633789062,254484,0.012690108031283058
2018-06-26,19.320310592651367,348700,-0.007152764277059384
2018-06-27,19.309642791748047,370464,-0.000552307224828592
2018-06-28,19.63502311706543,301419,0.016710267714488195
2018-06-29,19.53900909423828,1398512,-0.004901931696422165
2018-07-02,19.464332580566406,379134,-0.0038292413785214626
2018-07-03,19.656360626220703,495343,0.009817289633843504
2018-07-04,19.949739456176758,795555,0.014815101481926635
2018-07-05,20.520492553710938,303923,0.02820794019681012
2018-07-06,20.429813385009766,480360,-0.0044287491795814695
2018-07-09,20.056421279907227,146237,-0.018445908610815236
2018-07-10,19.736377716064453,165951,-0.01608584834181804
2018-07-11,19.480337142944336,312329,-0.013057912277135044
2018-07-12,19.378982543945312,166484,-0.005216500425277357
2018-07-13,19.394990921020508,185439,0.0008257280105294251
2018-07-16,19.544343948364258,86255,0.007671099685883666
2018-07-17,19.939071655273438,555180,0.019995274074412414
2018-07-18,19.880390167236328,1322861,-0.0029473793884707143
2018-07-19,19.704370498657227,155276,-0.008893363292382297
2018-07-20,20.056421279907227,170823,0.01770890195425793
2018-07-23,20.221782684326172,46322,0.008211008297653472
2018-07-24,19.981748580932617,264261,-0.011941088159644368
2018-07-25,19.605369567871094,497020,-0.019015799692851183
2018-07-26,19.610795974731445,724462,0.0002767433694702853
2018-07-27,19.827552795410156,548180,0.010992296077533959
2018-07-30,20.065977096557617,201222,0.011953173388884877
2018-07-31,20.065977096557617,828938,0.0
2018-08-01,19.87089729309082,202889,-0.009769485370434377
2018-08-02,19.594541549682617,86931,-0.014005178639713886
2018-08-03,19.935930252075195,109020,0.017272608920048386
2018-08-06,19.589120864868164,595309,-0.017549289787277468
2018-08-07,19.849224090576172,653882,0.013190563513346357
2018-08-08,19.599958419799805,460636,-0.012637472937821897
2018-08-09,19.4915828704834,272707,-0.005544720079923946
2018-08-10,18.814228057861328,270499,-0.03536932952872045
2018-08-13,19.301923751831055,287477,0.025591372017376605
2018-08-14,20.038888931274414,849513,0.037470064924324184
2018-08-15,19.757104873657227,193042,-0.014161665034097905
2018-08-16,19.529518127441406,1812721,-0.011586095964302299
2018-08-17,20.011789321899414,165436,0.024394494851975226
2018-08-20,20.022628784179688,324384,0.0005415071859630276
2018-08-21,20.168935775756836,3301322,0.0072805146771267384
2018-08-22,20.396530151367188,384955,0.0112212079187086
2018-08-23,20.380273818969727,375882,-0.0007973323888021865
2018-08-24,20.618701934814453,115854,0.011631061477329703
2018-08-27,20.45613670349121,365195,-0.007915604079266475
2018-08-28,20.396530151367188,202295,-0.0029181250092610933
2018-08-29,20.607864379882812,5142573,0.010307973191295745
2018-08-30,20.374849319458008,260358,-0.011371505219604698
2018-08-31,20.396530151367188,182778,0.0010635320283089644
2018-09-03,20.342334747314453,247605,-0.0026606257272002117
2018-09-04,20.47780990600586,498505,0.006637686233039199
2018-09-05,20.233964920043945,412371,-0.011979232200864836
2018-09-06,20.212291717529297,100479,-0.0010717038554766663
2018-09-07,20.358596801757812,1293528,0.007212349730345742
2018-09-10,20.098485946655273,224489,-0.012858783752877728
2018-09-11,20.098485946655273,468464,0.0
2018-09-12,20.423620223999023,535514,0.016047598980828033
2018-09-13,20.32608413696289,358974,-0.004787091088340474
2018-09-14,20.30440330505371,98823,-0.0010672199784911003
2018-09-17,20.266475677490234,777929,-0.0018696976532674334
2018-09-18,20.277313232421875,134411,0.0005346098863054713
2018-09-19,20.3911075592041,354554,0.0055962155179728424
2018-09-20,20.472394943237305,109323,0.003978488689211018
2018-09-21,20.75417137145996,311424,0.013669865877723083
2018-09-24,20.331506729125977,207388,-0.020575517946600168
2018-09-25,20.30440330505371,928692,-0.0013339643713450337
2018-09-26,20.288148880004883,906900,-0.0008008575486205938
2018-09-27,20.580772399902344,1782988,0.014320344724722107
2018-09-28,20.483232498168945,447391,-0.0047506367398869225
2018-10-01,20.63495635986328,1328343,0.007379923801237378
2018-10-02,21.12807273864746,1923433,0.023616069407297068
2018-10-03,20.504905700683594,297426,-0.0299384577611126
2018-10-04,20.67288589477539,575312,0.008158821510407565
2018-10-05,20.732498168945312,714311,0.002879447526262428
2018-10-08,20.651212692260742,316736,-0.003928385324927281
2018-10-09,20.624122619628906,710706,-0.0013126520386542476
2018-10-10,20.342334747314453,510883,-0.013757221624886715
2018-10-11,20.667469024658203,351304,0.015856749360477512
2018-10-12,20.152679443359375,215854,-0.025223664988278608
2018-10-15,20.060558319091797,687065,-0.004581639805172123
2018-10-16,20.347761154174805,474099,0.014215274238731508
2018-10-17,19.935930252075195,354477,-0.020447244835234787
2018-10-18,19.6162166595459,304823,-0.016167039272280553
2018-10-19,19.280244827270508,2287982,-0.0172756171232529
2018-10-22,19.38862419128418,554943,0.005605524575959767
2018-10-23,19.599958419799805,609997,0.010840932607820883
2018-10-24,19.836271286010742,2093774,0.011984700185335756
2018-10-25,19.957462310791016,404449,0.006090979081806886
2018-10-26,20.11170196533203,1061167,0.007698708927107163
2018-10-29,19.814239501953125,1309114,-0.014900987000387073
2018-10-30,19.56084442138672,465398,-0.012871011486918625
2018-10-31,19.726104736328125,544339,0.00841303757266823
2018-11-01,20.646028518676758,472569,0.04558010528468588
2018-11-05,20.29899024963379,1698100,-0.016951833946486777
2018-11-06,20.106189727783203,1076987,-0.009543429098175552
2018-11-07,20.023561477661133,960259,-0.004118060262542135
2018-11-08,19.968475341796875,2627839,-0.002754856970722158
2018-11-09,20.106189727783203,1014161,0.00687291723326428
2018-11-12,20.271446228027344,94230,0.00818559180433381
2018-11-13,19.76466178894043,916412,-0.02531772113160999
2018-11-14,19.665510177612305,460974,-0.005029236007427426
2018-11-15,19.538816452026367,949160,-0.006463274720855887
2018-11-16,19.52228355407715,521448,-0.0008465147645052285
2018-11-20,19.329486846923828,201669,-0.00992481360470115
2018-11-21,18.78414535522461,645054,-0.028618564027934404
2018-11-22,19.059568405151367,210942,0.014556072096359294
2018-11-23,18.32693099975586,315053,-0.03919763658037791
2018-11-26,17.869728088378906,470750,-0.025263504417974588
2018-11-27,18.266342163085938,722810,0.02195202737312078
2018-11-28,19.615930557250977,686261,0.07128187930652041
2018-11-29,18.872276306152344,699102,-0.03864803657822017
2018-11-30,18.266342163085938,1879696,-0.03263384272830015
2018-12-03,18.795156478881836,839489,0.028539062207008133
2018-12-04,18.04048728942871,862540,-0.040980676661706024
