Date,fx_price,fx_return
2018-01-02,19.497400283813477,-0.007839471538007193
2018-01-03,19.35110092163086,-0.0075318248711235
2018-01-04,19.306970596313477,-0.0022831115342299303
2018-01-05,19.173999786376953,-0.006911017984295889
2018-01-08,19.192119598388672,0.0009445736837356721
2018-01-09,19.244680404663086,0.0027349227319794986
2018-01-10,19.26300048828125,0.0009515028989297852
2018-01-11,19.215370178222656,-0.002475693931992535
2018-01-12,19.033000946044922,-0.009536124485016596
2018-01-15,18.85870933532715,-0.009199523517481163
2018-01-16,18.752500534057617,-0.005647735552742425
2018-01-17,18.71685028076172,-0.0019029026806291634
2018-01-18,18.58690071105957,-0.006967132896979233
2018-01-19,18.620540618896484,0.0018082359764907269
2018-01-22,18.707780838012695,0.0046742191745525056
2018-01-23,18.67329978942871,-0.001844840105460799
2018-01-24,18.535030364990234,-0.00743220995612105
2018-01-25,18.609479904174805,0.004008648295040539
2018-01-26,18.476499557495117,-0.007171492760581413
2018-01-29,18.59779930114746,0.00654362618927903
2018-01-30,18.765979766845703,0.009002387109241712
2018-01-31,18.587099075317383,-0.009577901718268675
2018-02-01,18.333009719848633,-0.01376449720354465
2018-02-02,18.57659912109375,0.01319943209901568
2018-02-05,18.815929412841797,0.012801143402858161
2018-02-06,18.621299743652344,-0.010397747219746142
2018-02-07,18.777999877929688,0.008379892289570036
2018-02-08,18.86910057067871,0.004839728397891
2018-02-09,18.689699172973633,-0.00955316800964002
2018-02-12,18.58810043334961,-0.005450911387421479
2018-02-13,18.634300231933594,0.0024823666116313148
2018-02-14,18.555099487304688,-0.004259324698118972
2018-02-15,18.50271987915039,-0.0028269144775477286
2018-02-16,18.50510025024414,0.00012864151893891712
2018-02-19,18.51729965209961,0.000659028173710068
2018-02-20,18.703399658203125,0.009999895775761177
2018-02-21,18.83810043334961,0.00717613056872833
2018-02-22,18.603900909423828,-0.012510152766803997
2018-02-23,18.520099639892578,-0.004514675715426035
2018-02-26,18.663799285888672,0.007729171255978449
2018-02-27,18.82900047302246,0.008812479052979976
2018-02-28,18.82509994506836,-0.00020717679746658427
2018-03-01,18.84296989440918,0.0009488115933512845
2018-03-02,18.80830955505371,-0.0018411246392189935
2018-03-05,18.784650802612305,-0.0012586801007322152
2018-03-06,18.849950790405273,0.003470213609791051
2018-03-07,18.698299407958984,-0.008077724327708846
2018-03-08,18.625,-0.003927814708700491
2018-03-09,18.60099983215332,-0.0012894305743393402
2018-03-12,18.575899124145508,-0.0013503391905497113
2018-03-13,18.599580764770508,0.0012740464359350169
2018-03-14,18.572500228881836,-0.0014570365691495134
2018-03-15,18.687299728393555,0.006162129850698129
2018-03-16,18.67460060119629,-0.0006797902448364328
2018-03-19,18.69729995727539,0.0012147821508318134
2018-03-20,18.743900299072266,0.0024892559822153495
2018-03-21,18.44355010986328,-0.01615366028114728
2018-03-22,18.673940658569336,0.012414282474594295
2018-03-23,18.510099411010742,-0.008812507063805167
2018-03-26,18.327739715576172,-0.009900753649261232
2018-03-27,18.38051986694336,0.0028756573228560377
2018-03-28,18.321550369262695,-0.0032134181011952766
2018-03-29,18.16819953918457,-0.008405195063292096
2018-03-30,18.166839599609375,-7.485554484398797e-05
2018-04-02,18.225500106811523,0.003223786020863058
2018-04-03,18.2232608795166,-0.0001228698719596924
2018-04-04,18.2232608795166,0.0
2018-04-05,18.099000930786133,-0.006842108795014626
2018-04-06,18.21820068359375,0.006564392384183545
2018-04-09,18.30344009399414,0.004667893520695011
2018-04-10,18.331199645996094,0.001515481386571918
2018-04-11,18.23859977722168,-0.0050642917458825635
2018-04-12,18.193599700927734,-0.0024703476497918925
2018-04-13,18.171199798583984,-0.0012319553791079597
2018-04-16,18.053030014038086,-0.00652437356648111
2018-04-17,17.991899490356445,-0.0033919102149080264
2018-04-18,18.02440071105957,0.0018048066760675506
2018-04-19,18.075849533081055,0.002850332421857674
2018-04-20,18.446929931640625,0.020321189884126678
2018-04-23,18.520099639892578,0.0039586520557965185
2018-04-24,18.926700592041016,0.021717045512060787
2018-04-25,18.811630249023438,-0.00609834600912602
2018-04-26,18.846500396728516,0.001851932481680849
2018-04-27,18.75830078125,-0.004690878528633731
2018-04-30,18.636999130249023,-0.006487557352775715
2018-05-01,18.697099685668945,0.0032196093781470202
2018-05-02,18.93549919128418,0.012670009613663772
2018-05-03,19.09079933166504,0.0081680841864682
2018-05-04,19.045900344848633,-0.0023546351908649635
2018-05-07,19.254499435424805,0.010892896908793363
2018-05-08,19.425100326538086,0.008821290728955688
2018-05-09,19.548599243164062,0.00633757284264172
2018-05-10,19.56719970703125,0.0009510461638717626
2018-05-11,19.236900329589844,-0.017024353334235395
2018-05-14,19.34239959716797,0.0054692299112205495
2018-05-15,19.57659912109375,0.012035373910936677
2018-05-16,19.66939926147461,0.004729160534132957
2018-05-17,19.562599182128906,-0.0054445527837882575
2018-05-18,19.748699188232422,0.009468086990545079
2018-05-21,19.889850616455078,0.007121957061719992
2018-05-22,19.82360076904297,-0.003336396437783876
2018-05-23,19.762439727783203,-0.0030900332115821505
2018-05-24,19.6343994140625,-0.0065000526603310555
2018-05-25,19.5664005279541,-0.003469263607408906
2018-05-28,19.533050537109375,-0.0017059062479893327
2018-05-29,19.586050033569336,0.002709649665484798
2018-05-30,19.8398494720459,0.01287493488033045
2018-05-31,19.77519989013672,-0.003263892906493996
2018-06-01,19.903499603271484,0.006466953902873142
2018-06-04,19.942419052124023,0.0019534980014398505
2018-06-05,20.063310623168945,0.006043731235832371
2018-06-06,20.39389991760254,0.016343027519616093
2018-06-07,20.29360008239746,-0.004930263023031437
2018-06-08,20.417699813842773,0.006096593139704851
2018-06-11,20.3257999420166,-0.004511150403245813
2018-06-12,20.561500549316406,0.01152940963975674
2018-06-13,20.69219970703125,0.006336381667442253
2018-06-14,20.654300689697266,-0.0018332399397524683
2018-06-15,20.838600158691406,0.008883480173347568
2018-06-18,20.682819366455078,-0.0075036703925142
2018-06-19,20.549699783325195,-0.006457041596860775
2018-06-20,20.510400772094727,-0.0019142195318054885
2018-06-21,20.359500885009766,-0.007384435326670182
2018-06-22,20.310300827026367,-0.0024194896416216464
2018-06-25,20.030500411987305,-0.013872054761168555
2018-06-26,19.905799865722656,-0.006244992684516156
2018-06-27,19.922590255737305,0.0008431368156286965
2018-06-28,20.15475082397461,0.011585756883150609
2018-06-29,19.729299545288086,-0.021335216113050545
2018-07-02,19.794300079345703,0.0032892040845263937
2018-07-03,19.964000701904297,0.008536665289791379
2018-07-04,19.49329948425293,-0.023859896437889692
2018-07-05,19.423900604248047,-0.003566492625836781
2018-07-06,19.25252914428711,-0.00886186147966914
2018-07-09,19.061100006103516,-0.009992826854620596
2018-07-10,19.17770004272461,0.006098538544935146
2018-07-11,19.011899948120117,-0.008683051739555442
2018-07-12,19.0585994720459,0.0024533193974269076
2018-07-13,18.969690322875977,-0.004675956328617799
2018-07-16,18.902009963989258,-0.0035741955298925683
2018-07-17,18.83300018310547,-0.0036576037769459144
2018-07-18,18.88479995727539,0.002746703495090151
2018-07-19,18.889400482177734,0.0002435802675671355
2018-07-20,19.03553009033203,0.007706293940711721
2018-07-23,19.021060943603516,-0.0007604016561965865
2018-07-24,18.90239906311035,-0.006257987416178238
2018-07-25,18.854700088500977,-0.002526624187574256
2018-07-26,18.65519905090332,-0.010637347652352549
2018-07-27,18.632400512695312,-0.0012228484169446892
2018-07-30,18.606700897216797,-0.001380249178175738
2018-07-31,18.530580520629883,-0.004099410634382688
2018-08-01,18.66489028930664,0.007221865969127599
2018-08-02,18.590099334716797,-0.004015089297818129
2018-08-03,18.634000778198242,0.0023587656224373682
2018-08-06,18.568649291992188,-0.0035132740975552723
2018-08-07,18.52659034729004,-0.002267620488976497
2018-08-08,18.443300247192383,-0.004505841898663799
2018-08-09,18.457599639892578,0.0007750159730355203
2018-08-10,18.721500396728516,0.014196426957197621
2018-08-13,19.067699432373047,0.018323157048721807
2018-08-14,19.130699157714844,0.0032985562112212287
2018-08-15,18.87980079650879,-0.013201720866169981
2018-08-16,19.18400001525879,0.015983989451231317
2018-08-17,19.00749969482422,-0.009242977015640853
2018-08-20,18.87820053100586,-0.006825776747663373
2018-08-21,19.0035400390625,0.006617434339575415
2018-08-22,18.943769454956055,-0.0031501908478991547
2018-08-23,18.767349243164062,-0.009356471243405709
2018-08-24,19.006200790405273,0.012646665747686454
2018-08-27,18.76759910583496,-0.012633352146262069
2018-08-28,18.80014991760254,0.001732912977728741
2018-08-29,19.065950393676758,0.014039198102119642
2018-08-30,18.926300048828125,-0.007351550496492771
2018-08-31,19.09984016418457,0.009127474899972966
2018-09-03,19.096900939941406,-0.00015389921569241118
2018-09-04,19.184600830078125,0.0045818496928212125
2018-09-05,19.368099212646484,0.009519424998672038
2018-09-06,19.33690071105957,-0.0016121177318324496
2018-09-07,19.23253059387207,-0.005412077306368912
2018-09-10,19.313899993896484,0.004221896536052513
2018-09-11,19.26569938659668,-0.0024987627219278325
2018-09-12,19.201820373535156,-0.003321195240925104
2018-09-13,19.027099609375,-0.009140827457260609
2018-09-14,18.83009910583496,-0.01040765236033574
2018-09-17,18.875,0.002381689291616574
2018-09-18,18.919540405273438,0.0023569767175672797
2018-09-19,18.788299560546875,-0.006960959566192748
2018-09-20,18.755699157714844,-0.0017366509769042408
2018-09-21,18.835899353027344,0.004266927727008066
2018-09-24,18.84416961669922,0.00043897285916998574
2018-09-25,18.965869903564453,0.0064374810866394405
2018-09-26,18.975299835205078,0.000497081766309456
