Date,price,volume,log_return
2018-01-03,40.307640075683594,3567900,-0.00019872332630589738
2018-01-04,40.371665954589844,2525000,0.0015871701306628982
2018-01-05,40.79579162597656,2740200,0.010450728510963384
2018-01-08,40.79579162597656,2978600,0.0
2018-01-09,40.48369598388672,3475200,-0.007679604906985959
2018-01-10,39.59544372558594,6989200,-0.022185270554906964
2018-01-11,39.77149200439453,2818400,0.004436320135638258
2018-01-12,40.563720703125,5344500,0.01972371404568482
2018-01-16,41.34794616699219,4161600,0.019148662368448515
2018-01-17,41.80408477783203,3409900,0.01097130595804167
2018-01-18,42.1081657409668,2586300,0.007247625759512099
2018-01-19,41.99613952636719,2717300,-0.002663984453493613
2018-01-22,42.05215835571289,1805600,0.001333015398346937
2018-01-23,42.02814865112305,2833300,-0.0005711136435431335
2018-01-24,43.14847183227539,5558800,0.026307401884796074
2018-01-25,42.79636764526367,6075200,-0.008193770774619743
2018-01-26,43.268497467041016,2154900,0.010971598160109813
2018-01-29,42.668331146240234,3231300,-0.013967843314449448
2018-01-30,42.124168395996094,2912400,-0.012835338594270454
2018-01-31,42.500282287597656,2519900,0.008889070833110135
2018-02-01,43.260501861572266,3879300,0.017729303541637403
2018-02-02,42.31623458862305,4424900,-0.022069212668498078
2018-02-05,40.55571365356445,5603700,-0.0424941342968309
2018-02-06,41.64403533935547,6870600,0.026481474672576947
2018-02-07,40.84379959106445,4721700,-0.019403124229249374
2018-02-08,39.64345169067383,7413600,-0.029829243367774004
2018-02-09,40.28364181518555,7976300,0.01601969463429576
2018-02-12,40.5077018737793,5970900,0.005546649499877573
2018-02-13,40.61174011230469,2578600,0.002565064379683652
2018-02-14,41.2279167175293,3532400,0.015058426991007947
2018-02-15,41.74806594848633,3639500,0.012537508510532687
2018-02-16,41.69205093383789,4516400,-0.001342640091029775
2018-02-20,41.171897888183594,4609100,-0.012554552012096052
2018-02-21,40.707759857177734,3637200,-0.011337199376787174
2018-02-22,41.52400207519531,3054800,0.019852889150021466
2018-02-23,41.435977935791016,2696800,-0.0021220875999625436
2018-02-26,41.32394027709961,2645700,-0.002707535955908972
2018-02-27,40.45168685913086,4019300,-0.021333654788856283
2018-02-28,39.93953323364258,3821700,-0.012741703731664266
2018-03-01,40.1475944519043,4938700,0.005195883342643881
2018-03-02,40.09959030151367,3612300,-0.0011964072325823872
2018-03-05,40.22761917114258,4615600,0.003187686436053704
2018-03-06,40.5077018737793,3359100,0.006938321978944035
2018-03-07,40.40367126464844,2636600,-0.002571472029718222
2018-03-08,41.107879638671875,6432700,0.017279168103234474
2018-03-09,41.507999420166016,3854800,0.009686343944835649
2018-03-12,41.6600456237793,2515100,0.003656365204331167
2018-03-13,41.49999237060547,2768000,-0.003849287582349049
2018-03-14,41.291934967041016,3244400,-0.0050260417466931806
2018-03-15,40.69976043701172,2300200,-0.014444995286392289
2018-03-16,40.35565948486328,2440300,-0.008490561634340376
2018-03-19,39.86751937866211,3382800,-0.012169703011823938
2018-03-20,40.02756118774414,2114900,0.004006304819011999
2018-03-21,41.21990203857422,7326300,0.029352952373079267
2018-03-22,40.6197395324707,5159700,-0.014667055074584755
2018-03-23,39.9715576171875,3826800,-0.016086002213195467
2018-03-26,40.93183517456055,3115500,0.023739984784252974
2018-03-27,40.53170394897461,2753000,-0.009823644976418567
2018-03-28,40.195613861083984,3062600,-0.008326599689661662
2018-03-29,41.2279167175293,2980300,0.02535773538712369
2018-04-02,40.1316032409668,4123300,-0.026951482462537386
2018-04-03,41.027854919433594,4936400,0.022087089639810088
2018-04-04,42.1081657409668,6285500,0.025990458170013397
2018-04-05,42.164188385009766,5188000,0.0013295618207600098
2018-04-06,41.884098052978516,3597200,-0.0066650108112193554
2018-04-09,41.77206802368164,2297100,-0.0026783464153782147
2018-04-10,42.36423873901367,5137600,0.01407669331984098
2018-04-11,42.428253173828125,2086600,0.0015099083782571783
2018-04-12,42.740352630615234,3883400,0.007329011690584344
2018-04-13,43.10845947265625,2458000,0.008575752861562421
2018-04-16,43.01242446899414,1891200,-0.0022302382203457246
2018-04-17,43.34052658081055,3188900,0.007599130932521793
2018-04-18,43.30051040649414,3408300,-0.0009237234122125092
2018-04-19,42.03615188598633,5110400,-0.029634415385047796
2018-04-20,41.78008270263672,5586700,-0.0061102716272120996
2018-04-23,40.899818420410156,3979100,-0.02129411216543137
2018-04-24,40.77978515625,3244900,-0.0029391266684121137
2018-04-25,40.819793701171875,2793000,0.0009806067307715658
2018-04-26,41.01984786987305,3887700,0.004888940453082314
2018-04-27,41.34794616699219,2061300,0.007966706800324417
2018-04-30,41.291934967041016,2281000,-0.0013555491067830628
2018-05-01,40.739768981933594,3627100,-0.013462461413077366
2018-05-02,40.091583251953125,4861400,-0.01603832192058726
2018-05-03,39.515419006347656,5215300,-0.014475467985822039
2018-05-04,39.043277740478516,3764900,-0.012020233792695647
2018-05-07,38.07500076293945,6093400,-0.025112797717897123
2018-05-08,38.04298400878906,3774200,-0.0008412402439332441
2018-05-09,37.85093307495117,4141700,-0.005061047081327734
2018-05-10,38.85922622680664,6323400,0.026289900440673777
2018-05-11,38.46710968017578,3248200,-0.0101419497792108
2018-05-14,37.92295837402344,2841400,-0.01424689161891561
2018-05-15,37.57884979248047,4299700,-0.009115303925187557
2018-05-16,37.82692337036133,3764700,0.006579720953893288
2018-05-17,37.0587158203125,5934000,-0.020517538675896493
2018-05-18,36.450531005859375,5867100,-0.01654754247858714
2018-05-21,36.314491271972656,4239700,-0.0037391562079967106
2018-05-22,36.82664108276367,2683400,0.014004655518801461
2018-05-23,37.386802673339844,5039300,0.015096246729184776
2018-05-24,36.86664962768555,3625700,-0.014010434209022664
2018-05-25,36.810630798339844,4217200,-0.0015206543948572374
2018-05-29,35.7783317565918,5737100,-0.028444231878439443
2018-05-30,36.13843536376953,3719000,0.01001453850575276
2018-05-31,35.75433349609375,4897100,-0.010685512006142237
2018-06-01,35.994407653808594,3650600,0.006692104971562671
2018-06-04,35.986392974853516,2757800,-0.00022268935377773005
2018-06-05,35.03411102294922,5160100,-0.026818706555370418
2018-06-06,35.37822341918945,4246200,0.009774285672379673
2018-06-07,35.098140716552734,5869500,-0.007948315172193065
2018-06-08,35.94638442993164,3970000,0.023880348893423074
2018-06-11,35.71432113647461,4142800,-0.006476746296114162
2018-06-12,35.82636260986328,4311100,0.0031322475303402586
2018-06-13,35.7463264465332,3862200,-0.0022365010382194767
2018-06-14,35.898372650146484,3423900,0.00424445726745786
2018-06-15,36.05842208862305,4172500,0.004448494488776358
2018-06-18,36.14643859863281,5584900,0.002437967548644531
2018-06-19,35.987586975097656,4529900,-0.004404353675249731
2018-06-20,36.54684829711914,3425400,0.01542087982731454
2018-06-21,36.45769500732422,4134900,-0.0024424050909350207
2018-06-22,37.106117248535156,3560700,0.01762929394068553
2018-06-25,37.389793395996094,5736300,0.007615921898536818
2018-06-26,37.4465446472168,2774900,0.001516676619497647
2018-06-27,36.96831512451172,4796100,-0.012853242161925644
2018-06-28,38.030113220214844,5469100,0.028317101282055387
2018-06-29,38.208438873291016,5249000,0.004678105063532752
2018-07-02,37.2439079284668,5225500,-0.025568018222220153
2018-07-03,38.38676071166992,3898600,0.03022424110614197
2018-07-05,40.21854782104492,6476200,0.046615650789034714
2018-07-06,40.87508010864258,10182100,0.016192311258764913
2018-07-09,40.85887145996094,6501300,-0.0003966197298196826
2018-07-10,41.264137268066406,5024100,0.009869806384991086
2018-07-11,40.85076904296875,6180700,-0.010068128565063613
2018-07-12,40.88318634033203,3007700,0.0007932394538127756
2018-07-13,40.72918701171875,3481800,-0.0037739255719734213
2018-07-16,40.931827545166016,2917600,0.0049629789805079
2018-07-17,41.012874603271484,2798000,0.001978092113526115
2018-07-18,41.14255905151367,4824400,0.003157053652731167
2018-07-19,40.607601165771484,3716100,-0.013087815862811924
2018-07-20,40.91561508178711,2628100,0.007556507111601251
2018-07-23,41.15066146850586,4717100,0.005728224535212548
2018-07-24,41.515403747558594,3772600,0.008824531445674867
2018-07-25,42.050357818603516,5725800,0.012803362734768751
2018-07-26,41.928768157958984,6046800,-0.0028957135286409195
2018-07-27,42.04225158691406,3631900,0.0027029205645059196
2018-07-30,42.29351043701172,1915300,0.005958553938832258
2018-07-31,42.13140106201172,3985700,-0.003840325594788596
2018-08-01,41.9206657409668,3428900,-0.005014410010996094
2018-08-02,41.45867156982422,3173500,-0.011081855866545486
2018-08-03,42.058448791503906,3320500,0.014363223500255137
2018-08-06,42.0827751159668,2039000,0.0005782260825543011
2018-08-07,42.877098083496094,6275200,0.018699324352570105
2018-08-08,42.74741744995117,2404100,-0.0030290561503465005
2018-08-09,41.66129684448242,4536700,-0.025736218433943116
2018-08-10,40.21854782104492,6530200,-0.03524428679538005
2018-08-13,40.16181182861328,3856900,-0.0014116881810726611
2018-08-14,41.085819244384766,3214600,0.02274644179507845
2018-08-15,39.88623046875,5355800,-0.02963186811428659
2018-08-16,39.91865921020508,4478500,0.0008127006595815829
2018-08-17,40.37255096435547,5985600,0.011306258513010996
2018-08-20,40.54276657104492,3179800,0.004207259217577495
2018-08-21,41.19929122924805,5385100,0.016063671342825388
2018-08-22,42.03413772583008,5753000,0.020061038099937523
2018-08-23,41.353294372558594,4988700,-0.01633000240094578
2018-08-24,41.4910888671875,4937300,0.0033265893549321995
2018-08-27,42.32593536376953,6364400,0.019921349244631088
2018-08-28,41.29656219482422,6279200,-0.024620770664873122
2018-08-29,41.81529235839844,2760300,0.01248286185252313
2018-08-30,40.87508010864258,5655300,-0.02274152946015459
2018-08-31,40.802127838134766,5209400,-0.0017863561143027372
2018-09-04,39.74034118652344,3727400,-0.026367410390213026
2018-09-05,39.58634948730469,3941800,-0.003882473637681509
2018-09-06,39.98350524902344,3539200,0.009982651374371466
2018-09-07,39.942970275878906,3173400,-0.001014306620017591
2018-09-10,39.95917892456055,2696000,0.0004057124637114857
2018-09-11,40.09697723388672,2381400,0.0034425446343448263
2018-09-12,40.84265899658203,4556400,0.018426148060697645
2018-09-13,41.636985778808594,4152700,0.01926175465910153
2018-09-14,41.353294372558594,2829900,-0.006836764757070497
2018-09-17,41.2479248046875,2312700,-0.0025512849828445757
2018-09-18,41.523502349853516,2353000,0.00665878487020284
2018-09-19,41.59645462036133,3045500,0.0017553495429738725
2018-09-20,41.4505500793457,2762400,-0.0035137857569462845
2018-09-21,41.328975677490234,3600900,-0.0029373081846914314
2018-09-24,40.931827545166016,2968100,-0.009655904209180754
2018-09-25,41.085819244384766,2281700,0.003755091402785756
2018-09-26,41.33707809448242,4207200,0.0060968404779342235
2018-09-27,41.44245529174805,2431800,0.0025459736211616217
2018-09-28,41.523502349853516,2583600,0.001953743105962956
