Date,price,volume,log_return
2018-01-08,13.051044464111328,1448,0.0060184346012684105
2018-01-15,12.757394790649414,2058,-0.022757079070805875
2018-01-16,12.757394790649414,235,0.0
2018-01-18,12.790023803710938,464,0.0025543896486273413
2018-01-22,12.652987480163574,606,-0.010772124977029647
2018-01-23,12.555103302001953,236,-0.007766131198062297
2018-01-24,12.692147254943848,252,0.010856255306732484
2018-01-30,12.594255447387695,203,-0.00774268271783413
2018-02-01,12.790023803710938,500050,0.01542468358619359
2018-02-02,12.679093360900879,100,-0.008711031761450105
2018-02-06,12.679093360900879,1449,0.0
2018-02-07,12.581209182739258,154,-0.00775007883873881
2018-02-08,12.252654075622559,2712,-0.026461793349738517
2018-02-23,12.357534408569336,250,0.00852337786511891
2018-02-27,12.390313148498535,6483,0.0026490189922014303
2018-03-12,12.731205940246582,668,0.02714117061537969
2018-03-13,13.113696098327637,269,0.02960104750718868
2018-03-23,13.012655258178711,555,-0.007734822403726972
2018-03-26,12.749781608581543,4754,-0.020408222615135915
2018-04-06,13.012655258178711,26757,0.020408222615135994
2018-04-11,12.992938995361328,356,-0.0015163096372870664
2018-04-16,13.045516014099121,200038,0.0040384185754839845
2018-04-17,13.242685317993164,210008,0.015000874251131687
2018-04-19,13.157248497009277,152,-0.00647252526113082
2018-04-23,12.81549072265625,224,-0.026318171346379517
2018-04-26,12.776066780090332,363,-0.003081014021764641
2018-04-27,12.945155143737793,2147,0.013147960076222962
2018-05-08,12.556474685668945,2627,-0.030485154220406
2018-05-11,12.887313842773438,797,0.026006960699064424
2018-05-16,12.784104347229004,4421,-0.008040853128319543
2018-05-17,12.631752014160156,1438,-0.011988906118082118
2018-05-18,12.214446067810059,3459,-0.03359429004276039
2018-05-21,12.154837608337402,350,-0.004892107552069711
2018-05-29,12.300559043884277,1370,0.011917464459944425
2018-05-31,12.578767776489258,4564,0.022365583412469858
2018-06-05,12.717867851257324,10000,0.010997626625091789
2018-06-06,12.7377347946167,400,0.001560909609524409
2018-06-12,12.492650032043457,230,-0.01942835778145974
2018-06-19,12.300559043884277,168,-0.015495761865626496
2018-06-21,12.2078275680542,1078,-0.007567362129547948
2018-07-03,12.5986328125,1579,0.031510951187413296
2018-07-11,12.664872169494629,1925,0.005243889066961275
2018-07-12,12.55227279663086,528,-0.008930441678220416
2018-07-16,12.45953369140625,200,-0.007415660301155664
2018-07-17,12.499273300170898,1235,0.003184418418696694
2018-07-26,12.625127792358398,200000,0.010018590645231302
2018-07-31,12.684744834899902,528,0.004710980073101228
2018-08-09,12.625127792358398,146,-0.004710980073101097
2018-08-10,12.393290519714355,347,-0.018533858226478142
2018-08-13,12.342731475830078,312,-0.004087893704211612
2018-08-14,12.713743209838867,171,0.02961620553089884
2018-08-23,12.885997772216797,170,0.013457726955031574
2018-08-28,12.85286808013916,1200,-0.0025742944979414064
2018-08-31,12.73361587524414,20687,-0.009321567480952865
2018-09-05,12.587867736816406,10012,-0.011511943791392983
2018-09-07,12.634237289428711,200000,0.0036769020512410827
2018-09-13,12.786620140075684,200022,0.011988948546904063
2018-09-19,12.766746520996094,2234,-0.0015554602530563919
2018-09-27,12.654119491577148,5789,-0.008861048738578212
2018-10-02,12.839619636535645,121,0.014552860831605934
2018-10-08,12.693869590759277,986,-0.011416506966436908
2018-10-12,12.369233131408691,314,-0.025906977278423143
2018-10-15,12.216849327087402,700052,-0.012396098962871962
2018-10-22,11.945219993591309,226,-0.022484893472861554
2018-10-26,11.958464622497559,4000,0.0011081664165480966
