Date,return,regime,fx_return,vol_garch_normal,vol_garch_t,vol_xgb_pure,vol_xgb_ensemble,var_garch_normal,var_garch_t,var_xgb_pure,var_xgb_ensemble,es_garch_normal,es_garch_t,es_xgb_pure,es_xgb_ensemble,var_hist,es_hist,var_xgb_pure_t
2020-06-26,0.0009512770133055,Normal,-0.0048771014262195,0.0432389727303883,0.0477451459044628,0.0437405183911323,0.0499554686248302,0.0711217811212351,0.0962087785893358,0.0719467503203916,0.0821694337536125,0.08918958283443625,0.13798962822251926,0.09022412749240269,0.10304378493747261,0.03023765206130528,0.08666736973617374,0.08813926043279433
2020-08-17,-0.0132609682697571,Normal,-0.0099983982026516,0.0145740217744386,0.0205073851712453,0.0124179720878601,0.0123332384973764,0.0239721325749552,0.0413233731306317,0.0204257464280988,0.0202863720744671,0.030062021371026593,0.05926898749578725,0.025614710068898754,0.025439929006581933,0.03023765206130528,0.08666736973617374,0.025022814455737383
2020-10-28,0.0243839928205057,Normal,0.0026443788590597,0.0123730122643276,0.0260723002825946,0.0111666629090905,0.0106425890699028,0.0203517940992944,0.0525369462734925,0.018367525986962,0.0175055012317838,0.025521970865074992,0.07535230974265032,0.0230336185996991,0.021952604779527044,0.03023765206130528,0.0873138620813505,0.022501365930521017
2020-12-16,-0.0730939262283709,Normal,-0.0149397791357974,0.0315421486394237,0.0383356573822439,0.0111095895990729,0.0102589204907417,0.0518822175913986,0.0772482040487427,0.0182736487459774,0.0168744225778033,0.06506239397484219,0.11079499307483018,0.022915892752158957,0.021161206687453266,0.02938115220290228,0.08699378741694065,0.022386360450009322
2021-02-02,0.0119762287845767,Normal,-0.0067099472502964,0.0219943410547205,0.0542459776417567,0.014882150106132,0.014874487183988,0.0361774716562647,0.1093082690068814,0.0244789585789075,0.024466354193626,0.04536800898625835,0.15677787020132303,0.030697601627166463,0.030681795219517107,0.036965905145870386,0.09838680951319254,0.029988252363059166
2021-03-22,-0.0041537043669668,Normal,0.0085990151527937,0.0173317559975229,0.0190221066233102,0.0095657892525196,0.0094858715310692,0.0285082017139635,0.0383304650086685,0.0157343231466602,0.015602870192675,0.03575043507268411,0.05497634097112157,0.019731476005089062,0.019566628697506513,0.0306306863378098,0.04515167166225818,0.01927552807293614
2021-05-12,-0.012125500571811,Normal,0.0025448139715764,0.0153678272766061,0.016917662355918,0.0116821695119142,0.0120620615780353,0.0252778264342894,0.0340899080108899,0.019215458892334,0.0198403257351434,0.03169941414701736,0.04889422567811295,0.024096960671698187,0.024880568901956644,0.02740181475742564,0.04388120870391871,0.023540136671983347
2021-06-25,-0.0248395250660521,Normal,-0.017430229604368,0.009537418191911,0.0134619180593844,0.0137146608904004,0.0143378200009465,0.0156876569047178,0.0271264160875051,0.0225586097079846,0.0235836152311342,0.019672954655009133,0.038906679055783114,0.028289406669250092,0.02957480494768847,0.02740181475742564,0.04388120870391871,0.027635705118015358
2021-08-02,-0.0076210842812223,Normal,0.0007200623039645,0.0162809289728153,0.014616906168237,0.0092959608882665,0.0092628775164484,0.0267797450710745,0.0294537729974674,0.0152904949830642,0.0152360776789375,0.033582880710344834,0.0422447436217792,0.01917489758231541,0.01910665608755069,0.02475492777784108,0.04219199403710965,0.018731810866468815
2021-09-30,0.0127658020506109,Normal,0.0083922979150632,0.009165656415845,0.0088054823651973,0.0085129309445619,0.008143070153892,0.0150761631989938,0.0177434729164034,0.0140025253401501,0.0133941584771496,0.018906116878176088,0.025448979469553813,0.017559731688774113,0.01679681509886449,0.02438839812274392,0.04165890901346168,0.017153967652135813
2021-11-08,0.0094051467065319,Normal,-0.0084607060074423,0.0087838964978795,0.0083963766263804,0.0081993080675601,0.008376863785088,0.0144482240133035,0.0169191050628794,0.0134866616134188,0.0137787147793805,0.018118655805995663,0.02426661113171266,0.016912817763655177,0.017279064216246146,0.020320796964632237,0.024184752627436714,0.016522002383993317
2021-12-09,-0.0022701031186523,Normal,-0.0048815382675877,0.0095764741047731,0.0095272859995401,0.0085735665634274,0.0082456720992922,0.0157518981646429,0.0191979421556518,0.0141022620577635,0.0135629236591734,0.01975351578667868,0.027535085046693046,0.01768480555639912,0.01700845344571666,0.01660185694990432,0.021378322042287658,0.017276151357296782
2022-01-17,0.0081100450906323,Normal,-0.0016079409142235,0.0096864619437854,0.0097395342601544,0.0065646986477077,0.0066760382615029,0.0159328120605629,0.0196256326679454,0.0107979683805254,0.0109811057480999,0.01998038911087941,0.028148509888490547,0.013541087978053349,0.013770749625411638,0.01660185694990432,0.020563907168263458,0.013228185331484899
2022-02-25,0.0190056258732124,High Vol,0.0162605999413406,0.0149652539611568,0.0213007077562512,0.0116107100620865,0.011427354067564,0.0246156522562587,0.0429219565150761,0.019097918557105,0.0187963247844913,0.030869021013279364,0.061561792062444984,0.023949560349321157,0.023571349591086338,0.020668067911650257,0.03108841637159113,0.02339614242384877
2022-04-19,0.0143048428374819,Normal,-0.0079700730231171,0.0184842486030736,0.015656798532661,0.0146366078406572,0.0152683844789862,0.0304038833562383,0.0315492064148414,0.0240750774929714,0.0251142575879501,0.03812769633071115,0.04525016664520936,0.03019111845138721,0.031494292214752424,0.0207371891315162,0.0312684333153936,0.029493472820429665
2022-06-07,0.0066891470764575,Normal,0.0005156114526897,0.0133086641905215,0.0133965281050026,0.009032311849296,0.0090499557554721,0.0218908045636585,0.0269946521662956,0.0148568309050714,0.0148858525481387,0.02745195207660414,0.03871769365582879,0.018631065332943935,0.01866745964418784,0.0207371891315162,0.03129482765492623,0.018200545299360497
2022-07-12,0.0164503585314548,Normal,0.0125536650234798,0.0165130780732243,0.015947626393052,0.013563459739089,0.0137431137263774,0.0271615963608759,0.0321352386218423,0.0223099059458508,0.0226054104584385,0.0340617376330098,0.04609069666290805,0.0279775221179302,0.02834809669842976,0.02246141272307882,0.032898658690635255,0.027331027484019242
2022-08-11,-0.0015904293281751,Normal,-0.0111738204877823,0.013797869059403,0.0139489061741496,0.0101221250370144,0.0098010441288352,0.0226954749665606,0.0281077206959952,0.0166494140795895,0.016121282983226,0.028461041225141002,0.04031413750275696,0.020879036953041174,0.020216739251493823,0.021488029374303882,0.03268739837022147,0.020396571590509335
2022-09-26,-0.0263099021001358,Normal,0.0145557312740466,0.0114579014285801,0.0119105775507814,0.009521777741611,0.0091167986392974,0.0188465707220525,0.0240003899191589,0.0156619306533146,0.0149957993080347,0.0236343600238898,0.03442310494634358,0.019640692897860138,0.018805337316745017,0.021488029374303882,0.03268739837022147,0.019186842749471834
2022-11-04,0.0203075279414192,Normal,-0.0004131839673603,0.0092574723806064,0.0095201616381873,0.0094388555735349,0.0093923965469002,0.0152271870216436,0.0191835862228967,0.0155255358244001,0.0154491175259354,0.019095506844623075,0.027514494723723613,0.019469648279743283,0.019373816650479558,0.01890687330121724,0.02967563453736876,0.01901975056957684
2022-12-16,-0.0167648033929262,Normal,0.0071241777936986,0.0095245357595941,0.0096141574322675,0.0076451227068901,0.0078800003975629,0.0156664671891975,0.0193729922948583,0.0125751078129172,0.0129614472343105,0.019646381896877216,0.027786154689022714,0.015769692522468046,0.0162541777432166,0.017175633284737563,0.022368562705550456,0.015405292074450256
2023-01-23,0.0052092676199836,Normal,-0.0066029770675676,0.0090963099436491,0.0088336711519937,0.0069318334572017,0.0071584917604923,0.0149620984026859,0.0178002746853838,0.0114018514035018,0.011774671135748,0.018763075021822145,0.02553044869823441,0.014298381651678422,0.014765912636803843,0.017175633284737563,0.02315420886774324,0.013967979732149714
