Model,n_obs,n_breaches,breach_rate,expected_rate,ci_lower,ci_upper,ci_lower_cp,ci_upper_cp,kupiec_stat,kupiec_pval,christo_stat,christo_pval,exact_binomial_pval,expected_n_breaches,expected_std_dev,conservatism_c,es_realized
GARCH-Normal,62.0,7.0,0.11290322580645161,0.05,0.04838709677419355,0.1935483870967742,0.0466166243728165,0.21888678652085786,3.867242929141274,0.04923734156375714,0.060174076534749626,0.8062210167417441,0.034728094789549205,3.1,1.7161002301730512,0.06290322580645161,0.039425930918517156
GARCH-t,62.0,3.0,0.04838709677419355,0.05,0.0,0.11290322580645161,0.010091946310975769,0.13496194771506997,0.003430746347118735,0.9532925564735212,2.70588160185203,0.09997879990822711,1.0,3.1,1.7161002301730512,-0.0016129032258064557,0.048964647662319366
XGBoost-Pure,62.0,7.0,0.11290322580645161,0.05,0.04838709677419355,0.1935483870967742,0.0466166243728165,0.21888678652085786,3.867242929141274,0.04923734156375714,0.060174076534749626,0.8062210167417441,0.034728094789549205,3.1,1.7161002301730512,0.06290322580645161,0.04169591329393746
XGBoost-t,62.0,6.0,0.0967741935483871,0.05,0.03225806451612903,0.1774193548387097,0.03634958169297521,0.19883037629845876,2.2694755015355677,0.1319445500010057,0.303890149086247,0.5814538622588508,0.130635757675493,3.1,1.7161002301730512,0.04677419354838709,0.04359884102793387
XGBoost-Ensemble,62.0,7.0,0.11290322580645161,0.05,0.04838709677419355,0.1935483870967742,0.0466166243728165,0.21888678652085786,3.867242929141274,0.04923734156375714,0.060174076534749626,0.8062210167417441,0.034728094789549205,3.1,1.7161002301730512,0.06290322580645161,0.04169591329393746
Historical-VaR,62.0,4.0,0.06451612903225806,0.05,0.016129032258064516,0.12903225806451613,0.017856697163650508,0.15702808403757407,0.25296070414020755,0.6149980271301303,1.5249619551113471,0.2168701430640142,0.5529471571725356,3.1,1.7161002301730512,0.01451612903225806,0.05499699822247018
