Date,return,regime,fx_return,vol_garch_normal,vol_garch_t,vol_xgb_pure,vol_xgb_ensemble,var_garch_normal,var_garch_t,var_xgb_pure,var_xgb_ensemble,var_hist,var_xgb_pure_t
2019-12-24,0.0,,-0.0003590523815419,0.013728190757584977,0.015614140025705596,0.013425289653241634,0.012351637706160545,0.022580864359095336,0.031463247459792114,0.022082636379008584,0.020316636079768743,0.028584537438666378,0.027052608077289226
2020-01-23,-0.0004610784105439,,-0.0031494350623256,0.016563625742653597,0.018061592836446472,0.010051199235022068,0.011329928413033485,0.02724473987827055,0.03639498326488485,0.016532751516937918,0.018636073843278672,0.02322545384510784,0.020253652668577347
2020-02-24,-0.0143884702620169,,0.0084696515471191,0.008669182639390767,0.016508176778212477,0.009787320159375668,0.009476319886744022,0.014259536507106646,0.03326477476363104,0.016098709062284333,0.015587159135863275,0.02489046431917612,0.019721923566439446
2020-04-23,-0.0073804179327754,,0.0045323908937266,0.06876941457093368,0.06653943602408624,0.0244304109364748,0.016332009807229042,0.11311562098032972,0.13408018232283175,0.0401844500367755,0.026863765566827714,0.02954207175876444,0.04922845981740085
2020-06-26,0.0009508771782162,,-0.0048771014262195,0.04323899262333913,0.04774517258812343,0.03422722965478897,0.02595577761530876,0.07112181384222735,0.09620883235820257,0.05629878283818065,0.042693454950886466,0.0302381150997846,0.06896952343957834
2020-08-17,-0.0132606614326025,,-0.0099983982026516,0.014574072083573496,0.020507703327603845,0.01126834750175476,0.01105310209095478,0.023972215326118075,0.04132401423108436,0.018534782258010887,0.01818073506337188,0.0302381150997846,0.022706265303562168
2020-10-28,0.0243840712015459,,0.0026443788590597,0.012373123755050165,0.02607142906686713,0.010853612795472145,0.010741692036390305,0.02035197748521369,0.05253519073165791,0.017852604372159273,0.017668511105652346,0.0302381150997846,0.021870554808302634
2020-12-16,-0.0730940499029226,,-0.0149397791357974,0.03154241427783104,0.038333586271389254,0.01745638996362686,0.01602146402001381,0.05188265452769631,0.07724403066018404,0.028713206345150934,0.02635296320239224,0.02938139935946004,0.03517547020047322
2021-02-02,0.0119760109342416,,-0.0067099472502964,0.02199432049505322,0.054253897081835936,0.014673753641545773,0.014427648857235909,0.0361774378386214,0.10932422706173077,0.024136176898288945,0.023731370551206755,0.0369660773380708,0.029568323406086335
2021-03-22,-0.0041543837515111,,0.0085990151527937,0.01733174134988884,0.01902210966746885,0.010158352553844452,0.010784299112856388,0.028508177620749475,0.03833047114279548,0.016709003042042803,0.01773859350991138,0.03063111445813614,0.020469571789367626
2021-05-12,-0.0121250169107107,,0.0025448139715764,0.015368003004328638,0.016917777461302855,0.01175849512219429,0.011403700336813927,0.02527811548067109,0.034090139953808406,0.01934100334923248,0.01875741785967612,0.02740199387529352,0.023693936468821893
2021-06-25,-0.0248399434390064,,-0.017430229604368,0.009537351493920975,0.013461921156041279,0.012148533016443253,0.012356080114841461,0.015687547196286962,0.027126422327418392,0.0199825585942364,0.020323943191799948,0.02740199387529352,0.024479881693166502
2021-08-02,-0.0076212927357732,,0.0007200623039645,0.016281007129819825,0.014616783375066812,0.009455911815166473,0.009339312091469765,0.026779873627906927,0.02945352556328956,0.01555359084530986,0.015361801366885789,0.02475518292122448,0.019054119721531718
2021-09-30,0.012766423631557,,0.0083922979150632,0.00916573204196076,0.008805588298284404,0.009151975624263287,0.008830835111439228,0.015076287592884487,0.017743686376698292,0.015053660299340937,0.014525431162061229,0.024388080573662502,0.018441673594455216
2021-11-08,0.0094050010050279,,-0.0084607060074423,0.008784005569028292,0.008396428871074479,0.008042831905186176,0.008053516037762165,0.014448403419378123,0.016919210338465062,0.013229281230206507,0.013246855064424952,0.02032115747271136,0.016206695347536347
2021-12-09,-0.0022705366190585,,-0.0048815382675877,0.00957656684413422,0.009527303399960859,0.009810705669224262,0.009488760493695736,0.015752050707317392,0.019197977218341312,0.016137174802976904,0.01560762211332928,0.01660190867901144,0.01976904650001942
2022-01-17,0.0081103186441819,,-0.0016079409142235,0.009686497843722977,0.009739603468723254,0.00641774432733655,0.00633235601708293,0.01593287111070536,0.019625772126559464,0.010556250033666763,0.01041579876184684,0.01660190867901144,0.012932065267266753
2022-02-25,0.0190056887034778,Normal,0.0162605999413406,0.014961485217002834,0.021298953130746954,0.013392153196036816,0.013677181676030159,0.024609453223767955,0.04291842085980795,0.022028131757190917,0.02249696188629243,0.02066852738907364,0.026985836513100634
2022-04-19,0.0143050428138184,Normal,-0.0079700730231171,0.01848383287191415,0.015656861105165978,0.013184385374188423,0.015707576647400856,0.030403199539332848,0.031549332501465785,0.02168638410185978,0.025836664419095556,0.020737645066607118,0.026567174301654086
2022-06-07,0.006688663389742,Normal,0.0005156114526897,0.013308658134474259,0.013396631171933692,0.008651044219732285,0.008927700109779835,0.02189079460234721,0.02699485985114746,0.014229701461744224,0.014684759905906423,0.020737645066607118,0.017432272582603592
2022-07-12,0.0164502320976277,Normal,0.0125536650234798,0.01651328735301145,0.015947852593656785,0.012174056842923164,0.012004596181213856,0.027161940595492772,0.03213569442700294,0.020024541552795563,0.019745803568757412,0.02246098560054948,0.024531313438196083
2022-08-11,-0.001589786626325,Normal,-0.0111738204877823,0.013798042754077599,0.01394904181195391,0.008755332790315151,0.008947186172008514,0.022695760668876026,0.028107994012732052,0.014401240895317035,0.01471681162603827,0.02148798702954912,0.017642419097113827
2022-09-26,-0.026310152260864,Normal,0.0145557312740466,0.011457883337874137,0.011910530697163304,0.00944134034216404,0.008733290247619152,0.01884654096548912,0.024000295506851954,0.015529622905091781,0.014364984139016289,0.02148798702954912,0.0190247574985611
2022-11-04,0.0203076465261573,Normal,-0.0004131839673603,0.009257456719353511,0.009520090742439388,0.010551839135587215,0.010687664151191711,0.015227161261174906,0.019183443364535264,0.017356230873179126,0.01757964314272692,0.0189072665738866,0.021262466285836754
2022-12-16,-0.0167651098387161,Normal,0.0071241777936986,0.009524666720593737,0.00961427081293622,0.008169778622686863,0.008160047233104706,0.0156666826008726,0.019373220762390293,0.013438089998917095,0.013422083287467607,0.01717644708662152,0.01646249912413607
2023-01-23,0.0052090406033207,Normal,-0.0066029770675676,0.009096329529347882,0.00883350664147859,0.007112432736903429,0.007165956310927868,0.014962130618293648,0.017799943188737892,0.011698910783743997,0.0117869492286055,0.01717644708662152,0.014331896016937799
