Model,n_obs,n_breaches,breach_rate,expected_rate,ci_lower,ci_upper,kupiec_stat,kupiec_pval,christo_stat,christo_pval,es_realized
GARCH-Normal,38.0,1.0,0.0263,0.01,0.0,0.0789,0.7054,0.401,0.0,1.0,0.1011
GARCH-t,38.0,1.0,0.0263,0.01,0.0,0.0789,0.7054,0.401,0.0,1.0,0.1011
XGBoost-Pure,38.0,2.0,0.0526,0.01,0.0,0.1316,3.4737,0.0624,0.0,1.0,0.0589
XGBoost-Ensemble,38.0,2.0,0.0526,0.01,0.0,0.1316,3.4737,0.0624,0.0,1.0,0.0589
XGBoost-Quantile-Pure,38.0,2.0,0.0526,0.01,0.0,0.1316,3.4737,0.0624,0.0,1.0,0.051
XGBoost-Quantile-GARCHX,38.0,1.0,0.0263,0.01,0.0,0.0789,0.7054,0.401,0.0,1.0,0.1011
Historical-VaR,38.0,1.0,0.0263,0.01,0.0,0.0789,0.7054,0.401,0.0,1.0,0.1011
