model,regime,n_obs,n_breaches,breach_rate,expected_rate,ci_lower,ci_upper,ci_lower_cp,ci_upper_cp,kupiec_stat,kupiec_pval,christo_stat,christo_pval,exact_binomial_pval,expected_n_breaches,expected_std_dev,conservatism_c,es_realized
GARCH-Normal,Normal,38,4,0.10526315789473684,0.05,0.02631578947368421,0.21052631578947367,0.029434517445787744,0.24804937921702191,1.8801246304381438,0.17031998335261822,0.7465627241265866,0.3875666794759185,0.12038087755563427,1.9000000000000001,1.3435028842544403,0.055263157894736833,0.04091476320641855
GARCH-t,Normal,38,3,0.07894736842105263,0.05,0.0,0.18421052631578946,0.01658647586452953,0.21377329118061816,0.5744141455147846,0.44851016481102435,1.7941197242181885,0.18042502031638175,0.4379115473169412,1.9000000000000001,1.3435028842544403,0.028947368421052624,0.048964647662319366
XGBoost-Pure,Normal,38,5,0.13157894736842105,0.05,0.02631578947368421,0.23684210526315788,0.04413744005791444,0.2808638458837533,3.750010207041635,0.05280718894504188,0.4358455759932622,0.5091344649362295,0.03972663420665231,1.9000000000000001,1.3435028842544403,0.08157894736842104,0.03878747994312664
XGBoost-Ensemble,Normal,38,5,0.13157894736842105,0.05,0.02631578947368421,0.23684210526315788,0.04413744005791444,0.2808638458837533,3.750010207041635,0.05280718894504188,0.4358455759932622,0.5091344649362295,0.03972663420665231,1.9000000000000001,1.3435028842544403,0.08157894736842104,0.03878747994312664
Historical-VaR,Normal,38,3,0.07894736842105263,0.05,0.0,0.18421052631578946,0.01658647586452953,0.21377329118061816,0.5744141455147846,0.44851016481102435,1.7941197242181885,0.18042502031638175,0.4379115473169412,1.9000000000000001,1.3435028842544403,0.028947368421052624,0.048964647662319366
