Date,return,regime,fx_return,vol_garch_normal,vol_garch_t,vol_xgb_pure,vol_xgb_ensemble,var_garch_normal,var_garch_t,var_xgb_pure,var_xgb_ensemble,var_xgb_q_pure,var_xgb_q_garchx,var_hist,es_garch_normal,es_garch_t,es_xgb_pure,es_xgb_ensemble,es_xgb_q_pure,es_xgb_q_garchx,es_hist
2022-12-16,-0.0167651098387161,Normal,0.0071241777936986,0.009524666720593737,0.00961427081293622,0.005705114919692278,0.0043242317624390125,0.0156666826008726,0.019373220762390293,0.009384078967830804,0.00711272829822657,0.012906457297503948,0.010383465327322483,0.01717644708662152,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2023-01-23,0.0052090406033207,Normal,-0.0066029770675676,0.009096329529347882,0.00883350664147859,0.005505084991455078,0.004976330790668726,0.014962130618293648,0.017799943188737892,0.009055059014871003,0.008185335749941744,0.009894399903714657,0.01059055607765913,0.01717644708662152,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2023-02-23,0.0,Normal,-0.0035504853453484,0.009892277019209842,0.009922161396715715,0.006514229346066713,0.00586413498967886,0.016271347733856013,0.01999363518239972,0.010714953766671555,0.00964564370670631,0.010351106524467468,0.011902221478521824,0.01646063304663746,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2023-04-03,0.0018719845131207,Normal,-0.0027900152847604,0.012582854595528142,0.013321202369449772,0.010857442393898964,0.0111382519826293,0.02069695401885747,0.02684286716539978,0.017858903501021393,0.018320794171527235,0.006291241385042667,0.011927078478038311,0.01646063304663746,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2023-05-15,0.0009792622296709,Normal,0.0012255076953376,0.009936081399835463,0.009973248198566632,0.008837615139782429,0.009051446802914143,0.01634339952820443,0.0200965775593682,0.014536583316272375,0.014888305102931642,0.00769928190857172,0.00729555357247591,0.01646063304663746,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2023-06-21,0.0,Normal,0.0076227228060457,0.009086367158021165,0.008942942377534317,0.014126934111118317,0.013761927373707294,0.014945743975683861,0.018020461490661485,0.023236738810377446,0.022636356154485202,0.011084397323429585,0.007095384877175093,0.015352857711209459,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2023-07-25,-0.0009526690598961,Normal,-0.0087692417514668,0.008979664459586739,0.008782427885731432,0.01080202218145132,0.010952009819447994,0.014770233655158484,0.017697017025057705,0.017767745363570467,0.01801445307392718,0.009149576537311077,0.005316772498190403,0.0153962921367298,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2023-08-29,0.0116109484155112,Normal,0.0040113535593813,0.007362484347046735,0.006957783744275298,0.012091631069779396,0.012542564421892166,0.012110209081613268,0.014020270815904892,0.019888963220885757,0.020630682580621833,0.01151456218212843,0.005400701891630888,0.01344470375424186,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2023-10-03,0.0019564226885725,Normal,0.0152380182594302,0.010689908016323135,0.00984789403155496,0.010913841426372528,0.010403216816484928,0.017583333972426732,0.01984398284904081,0.01795167165414209,0.01711176891255779,0.007642708253115416,0.011450223624706268,0.01344470375424186,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2023-11-03,0.0753733435184187,Normal,-0.0133384798017397,0.009491480295116747,0.008752080285184732,0.006086585111916065,0.004443545825779438,0.015612095788561218,0.017635865141941518,0.010011541597083977,0.007308982468058386,0.009076603688299656,0.008737449534237385,0.0139464163016918,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2023-12-06,0.0108211486364288,High Vol,-0.0055038230406971,0.01457861284964617,0.012563543543023635,0.010077985934913158,0.008900605142116547,0.02397968422166185,0.025316147979668385,0.01657681171740784,0.014640192650073332,0.00668049743399024,0.009548369795084,0.0139464163016918,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2024-01-08,0.0016981277263656,Normal,-0.0075339680765605,0.011633849821282965,0.013089059182006167,0.007727841846644878,0.007981848903000355,0.01913598007394603,0.0263750874131612,0.012711168689961196,0.013128973117878768,0.01071335282176733,0.00966945756226778,0.0139464163016918,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2024-02-06,0.0025739002264613,Normal,-0.002427904949678,0.011672896678913343,0.01638567903413307,0.00851457379758358,0.008849851787090302,0.019200206439340412,0.03301793588368687,0.014005227592901327,0.014556710809978456,0.007197011727839708,0.0048264130018651485,0.0139464163016918,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2024-03-06,-0.0032356174248797,Normal,-0.0013556872743528,0.012075359104764507,0.020430997732273304,0.005146797746419907,0.00395348621532321,0.01986219822021339,0.04116944874598801,0.00846572894038445,0.006502906140377033,0.008578701876103878,0.008269944228231907,0.016988857668100397,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2024-04-08,0.0073729736327711,Normal,-0.0073399165521995,0.011257115553365074,0.01294150706416804,0.003201573621481657,0.0024580301251262426,0.01851630734696438,0.02607776275812964,0.005266119983246265,0.004043099766469883,0.008846919052302837,0.00489842751994729,0.013907433585034601,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2024-05-08,0.0102183523335139,High Vol,0.0012264648987485,0.02305019743646646,0.023626947035351297,0.0033938526175916195,0.003557552583515644,0.0379142008553194,0.04760944119041013,0.005582390787384326,0.00585165327006629,0.00841598305851221,0.008867225609719753,0.01669064921378392,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2024-06-05,0.0260865245045633,Normal,0.0062784416560961,0.04204637219555919,0.05255970540153073,0.010625767521560192,0.010782617144286633,0.0691601278060171,0.10591034887221742,0.017477832246981444,0.017735826917809,0.011359140276908875,0.006219029426574707,0.01720243254965912,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2024-07-03,0.0128398490497596,Normal,-0.0062373201374544,0.011711816603429964,0.027045407566558922,0.005354732275009155,0.005480707157403231,0.019264224018342255,0.054497804523123194,0.008807750803902921,0.009014961046113601,0.00980003084987402,0.008059203624725342,0.0194159790368334,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2024-08-01,-0.0043450440582397,Normal,-0.0060311486016936,0.012203026556568308,0.012983045727166114,0.0099549675360322,0.011909854598343372,0.020072192491356524,0.026161465173434338,0.01637446445782673,0.01958996753254977,0.011289449408650398,0.012043813243508339,0.0194159790368334,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2024-08-30,0.0082987736283714,Normal,0.0085978161586148,0.013794807681868873,0.016041385064049563,0.014381946995854378,0.010994483716785908,0.022690439448620054,0.03232416687932173,0.023656197678754914,0.01808431641801421,0.015987079590559006,0.017791161313652992,0.0253150097287282,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2024-10-03,-0.0119360005326292,Normal,-0.0111820175884883,0.014775410778811315,0.01632880055200483,0.011265737004578114,0.009008228778839111,0.024303388009225678,0.03290332299079671,0.018530488372261733,0.01481721777928215,0.017608214169740677,0.020080547779798508,0.02135671792128308,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2024-11-04,0.009425038396931,Normal,0.0015513529492935,0.012148840633403274,0.01449643050545611,0.009473700076341629,0.00927529577165842,0.019983064579108804,0.02921100870915455,0.015582849931220975,0.015256503891060013,0.013366792351007462,0.013889685273170471,0.02135671792128308,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2024-12-03,0.0010069618834464,Normal,0.0013872475177306,0.008585973653748516,0.009404341543244836,0.03016057424247265,0.03308197483420372,0.014122669905278036,0.01895020312898368,0.049609729933670306,0.05441500629275734,0.025927208364009857,0.02298368513584137,0.02135671792128308,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2025-01-03,-0.0194979120648485,Normal,-0.011459465741031,0.008470616501936892,0.00920576141266447,0.011265096254646778,0.01019681990146637,0.013932924275725895,0.018550054559881457,0.018529434432413207,0.01677227619829792,0.013320495374500751,0.007697317749261856,0.01842994273450534,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
2025-01-31,-0.1010858786612456,Normal,0.0083869359945474,0.009770814252397812,0.01039542898753319,0.005680809263139963,0.004723061341792345,0.016071559261325686,0.020947292271427713,0.009344099720495292,0.007768744578361428,0.007744451519101858,0.0091562420129776,0.01704512874248978,0.045782966854936734,0.06029189536304705,0.045782966854936734,0.038120100852151374,0.03229284960173048,0.03708681196915715,0.06029189536304705
