Model,n_obs,n_breaches,breach_rate,expected_rate,ci_lower,ci_upper,kupiec_stat,kupiec_pval,christo_stat,christo_pval,es_realized
GARCH-Normal,38.0,3.0,0.0789,0.05,0.0,0.1842,0.5744,0.4485,2.7204,0.0991,0.0458
GARCH-t,38.0,2.0,0.0526,0.05,0.0,0.1316,0.0055,0.9411,3.708,0.0542,0.0603
XGBoost-Pure,38.0,3.0,0.0789,0.05,0.0,0.1842,0.5744,0.4485,2.7204,0.0991,0.0458
XGBoost-Ensemble,38.0,4.0,0.1053,0.05,0.0263,0.2105,1.8801,0.1703,1.2376,0.2659,0.0381
XGBoost-Quantile-Pure,38.0,6.0,0.1579,0.05,0.0526,0.2895,6.0832,0.0136,1.9603,0.1615,0.0323
XGBoost-Quantile-GARCHX,38.0,4.0,0.1053,0.05,0.0263,0.2105,1.8801,0.1703,1.2376,0.2659,0.0371
Historical-VaR,38.0,2.0,0.0526,0.05,0.0,0.1316,0.0055,0.9411,3.708,0.0542,0.0603
